library;						library-url;																licence;													licence-url;																	copyright;										
FindBugs;						http://findbugs.sourceforge.net/;											GNU Lesser Public License;									http://www.gnu.org/licenses/lgpl.html;											Bill Pugh, Andrey Loskutov;										
AOP Alliance;					http://aopalliance.sourceforge.net/;										Public Domain;												;																				;										
Argparse4j;						http://argparse4j.sourceforge.net;											MIT;														https://raw.githubusercontent.com/tatsuhiro-t/argparse4j/master/LICENSE.txt;	Tatsuhiro Tsujikawa;										
ND4J, Canova;					http://nd4j.org/;															Apache 2.0 License;											http://www.apache.org/licenses/LICENSE-2.0;										https://skymind.io/;										
java-classmate;					http://github.com/cowtowncoder/java-classmate;								Apache 2.0 License;											http://www.apache.org/licenses/LICENSE-2.0.txt;									Tatu Saloranta, Brian Langel;										
ClearTK;						http://cleartk.github.io/cleartk/;											The BSD 3-Clause License;									https://github.com/cleartk/cleartk/blob/master/LICENSE;							Steven Bethard, Philip Ogren, Lee Becker;										
TwelveMonkeys;					https://github.com/haraldk/TwelveMonkeys;									The BSD 3-Clause License;									https://opensource.org/licenses/BSD-3-Clause;									;										
Apache Commons;					http://www.apache.org/;														Apache 2.0 License;											http://www.apache.org/licenses/LICENSE-2.0;										Sam Pullara;										
Mustache.java;					http://github.com/spullara/mustache.java;									Apache License 2.0;											http://www.apache.org/licenses/LICENSE-2.0;										;										
DL4J;							http://deeplearning4j.org;													Apache License 2.0;											http://www.apache.org/licenses/LICENSE-2.0;										https://skymind.io/;										
DSI Utilities;					http://dsiutils.di.unimi.it/;												GNU Lesser General Public License Version 3+;				http://www.gnu.org/licenses/lgpl.html;											Sebastiano Vigna, Paolo Boldi;										
fastutil;						http://fastutil.di.unimi.it/;												Apache License 2.0;											http://www.apache.org/licenses/LICENSE-2.0;										Sebastiano Vigna;										
Apache FreeMarker;				http://freemarker.org/;														Apache License 2.0;											http://www.apache.org/licenses/LICENSE-2.0;										Attila Szegedi, Daniel Dekany, Jonathan Revusky;										
Hibernate Validator;			http://hibernate.org/validator/;											Apache License 2.0;											http://www.apache.org/licenses/LICENSE-2.0;										;										
GlassFish;						https://glassfish.java.net/index.html;										GNU GENERAL PUBLIC LICENSE (GPL Version 2, June 1991);		https://glassfish.java.net/license.html#gpl;									;					
Jackson;						http://wiki.fasterxml.com/JacksonHome;										Apache License 2.0;											http://www.apache.org/licenses/LICENSE-2.0;										FasterXML, LLC;					
jai-imageio-core;				https://github.com/jai-imageio/jai-imageio-core;							BSD 3-clause License;										https://opensource.org/licenses/BSD-3-Clause;									https://github.com/jai-imageio/;					
JavaCPP, JavaCV;				https://github.com/bytedeco/javacpp, https://github.com/bytedeco/javacv;	Apache License, Version 2.0;								http://www.apache.org/licenses/LICENSE-2.0;										Samuel Audet;					
JavaCPP, JavaCV;				https://github.com/bytedeco/javacpp, https://github.com/bytedeco/javacv;	GNU General Public License (GPL) version 2;					http://www.gnu.org/licenses/;													;					
JavaCPP, JavaCV;				https://github.com/bytedeco/javacpp, https://github.com/bytedeco/javacv;	GPLv2 with Classpath exception;								http://www.gnu.org/software/classpath/license.html;								;					
Javassist;						http://www.javassist.org/;													MPL 1.1;													http://www.mozilla.org/MPL/MPL-1.1.html;										Shigeru Chiba;					
Javassist;						http://www.javassist.org/;													LGPL 2.1;													http://www.gnu.org/licenses/lgpl-2.1.html;										;					
Javassist;						http://www.javassist.org/;													Apache License 2.0;											http://www.apache.org/licenses/LICENSE-2.0;										;					
javax.annotation-api;			https://jcp.org/en/jsr/detail?id=250;										CDDL + GPLv2 with classpath exception;						https://glassfish.dev.java.net/nonav/public/CDDL+GPL.html;						Rajiv Mordani;					
javax.el;						http://el-spec.java.net;													CDDL + GPLv2 with classpath exception;						https://glassfish.dev.java.net/nonav/public/CDDL+GPL.html;						Kin-man Chung;					
javax.inject;					http://code.google.com/p/atinject/;											Apache 2.0 License;											http://www.apache.org/licenses/LICENSE-2.0;										;					
javax.servlet;					http://servlet-spec.java.net;												CDDL + GPLv2 with classpath exception;						https://glassfish.dev.java.net/nonav/public/CDDL+GPL.html;						Rajiv Mordani;					
javax.ws.rs-api;				http://jax-rs-spec.java.net;												GPL2 w/ CPE + CDDL 1.1;										http://glassfish.java.net/public/CDDL+GPL_1_1.html;								Marek Potociar;					
jboss-logging;					http://www.jboss.org;														Apache License 2.0;											http://www.apache.org/licenses/LICENSE-2.0;										;					
SL4J;							http://www.slf4j.org;														MIT;														http://www.slf4j.org/license.html;												QOS.ch;					
Jersey;							https://jersey.java.net/;													CDDL + GPLv2 with classpath exception;						https://jersey.java.net/license.html;											Oracle Corporation;					
Jetty;							http://www.eclipse.org/jetty/about.html;									Apache License 2.0;											http://www.apache.org/licenses/LICENSE-2.0;										;					
joda-time;						http://www.joda.org/joda-time/;												Apache License 2.0;											http://www.apache.org/licenses/LICENSE-2.0;										Joda.org;					
jsap;							http://www.martiansoftware.com/jsap/;										LGPL;														http://www.martiansoftware.com/jsap/license.html;								John Mutchek;					
JSON;							https://github.com/douglascrockford/JSON-java;								The JSON License;											http://json.org/license.html;													Douglas Crockford;					
Java WordNet Library;			http://jwordnet.sourceforge.net/;											BSD 3-Clause License;										http://svn.code.sf.net/p/jwordnet/code/trunk/jwnl/license.txt;					Brett Walenz;					
Logback;						http://logback.qos.ch;														Eclipse Public License - v 1.0;								http://www.eclipse.org/legal/epl-v10.html;										;					
Logback;						http://logback.qos.ch;														GNU Lesser General Public License;							http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html;							;					
Lombok;							https://projectlombok.org;													The MIT License;											https://projectlombok.org/LICENSE;												Reinier Zwitserloot;					
Lucene;							https://lucene.apache.org/;													Apache License 2.0;											http://www.apache.org/licenses/LICENSE-2.0;										;					
Netty;							http://netty.io/;															Apache License 2.0;											http://www.apache.org/licenses/LICENSE-2.0;										;					
OpenNLP;						https://opennlp.apache.org/;												Apache License 2.0;											http://www.apache.org/licenses/LICENSE-2.0;										;					
Reflections;					http://github.com/ronmamo/reflections;										WTFPL;														http://www.wtfpl.net/;															;					
Reflections;					http://github.com/ronmamo/reflections;										The New BSD License;										http://www.opensource.org/licenses/bsd-license.html;							;					
SnakeYAML;						http://www.snakeyaml.org;													Apache License 2.0;											http://www.apache.org/licenses/LICENSE-2.0;										Andrey Somov;					
UIMA;							https://uima.apache.org/;													Apache License 2.0;											http://www.apache.org/licenses/LICENSE-2.0;										;					
XZ data compression ;			http://tukaani.org/xz/java.html;											Public Domain;												;																				;					
